Track,Driver,Stint,Lap,LapTime_s,Mean_TotalG,Std_TotalG,Max_TotalG,Mean_Speed_KPH,Mean_Throttle_Pct,Mean_Brake_Pct,Session
charlotte_roval_2025,Driver B,stint_1,1,98.26666666663766,0.752324248942982,0.448737554816864,1.8466685104880505,131.99934292285877,73.87308956568154,5.650419700535415,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,2,99.4166666665763,0.7465150217794423,0.4597397055739375,1.8917365646669995,130.53135884651894,73.49746246233954,5.5711821462995745,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,3,98.08333333324413,0.7526795436158991,0.4514836884403715,1.877361995783638,132.17771287895087,74.72822688022733,5.5018768610168705,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,4,97.28333333324485,0.758142011582957,0.4484840830518515,1.8643566851808595,133.4002039120053,75.67927666119841,5.515013689137992,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,6,97.93333333324426,0.7619809117413758,0.43387776710767156,1.7849692408877023,132.50957523071384,76.34772597286396,5.9380810449265296,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,7,97.28333333324485,0.7589072450225024,0.45370916536148037,1.8674174493715165,133.24753576398263,75.97000509030774,5.740709251028403,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,8,99.06666666657657,0.7593012856354268,0.44438840412482356,1.7930937833679814,131.60352300247692,75.10563614762555,6.100007175206292,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,9,98.3999999999105,0.7721282969879185,0.4351634946016625,1.7721818365992854,132.08131116410013,73.18280258425729,5.017174975351161,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,11,97.86666666657766,0.7591913237642691,0.4483446055864967,1.8126394967336044,132.7872363755148,75.2332832899302,5.90745199803693,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,12,97.86666666657766,0.7666356187558004,0.4472814696411074,1.7713888199414671,133.12490134814843,74.79011859762151,5.381577099395464,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,13,97.38333333324476,0.7752785706354304,0.44698948750075307,1.8136202575985232,133.5711071241563,75.38123155306116,5.085675259248094,Driver B | charlotte_roval_2025 | stint_1
