Track,Driver,Stint,Lap,Sector,Sector_Name,Session,Mean_TotalG,Std_TotalG,Mean_Speed_KPH,Mean_Throttle_Pct,Mean_Brake_Pct
charlotte_roval_2025,Driver B,stint_1,2,11,Bus Stop Entry,Driver B | charlotte_roval_2025 | stint_1,0.7680739918148082,0.6040769665581694,171.86638688480153,40.18415939816109,44.790004847762994
charlotte_roval_2025,Driver B,stint_1,2,12,Bus Stop Apex,Driver B | charlotte_roval_2025 | stint_1,1.1416931992286583,0.3934034225794022,93.32175871050971,37.85915226532073,22.524373984460937
charlotte_roval_2025,Driver B,stint_1,2,13,Bus Stop Exit,Driver B | charlotte_roval_2025 | stint_1,0.45275541472088454,0.1623379117384904,100.68683289747972,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,2,14,Oval Turn 3,Driver B | charlotte_roval_2025 | stint_1,0.4813887961804474,0.16728864406657573,146.31614841566724,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,2,15,Oval Turn 4,Driver B | charlotte_roval_2025 | stint_1,0.6424601525769151,0.11212086256107086,172.6954711073027,95.57644242593123,0.5123758310906765
charlotte_roval_2025,Driver B,stint_1,2,16,Final Chicane Entry,Driver B | charlotte_roval_2025 | stint_1,1.0659690979010583,0.22740221166840308,123.04380265888418,2.0385977419975556,43.90113621067844
charlotte_roval_2025,Driver B,stint_1,2,17,Final Chicane Exit,Driver B | charlotte_roval_2025 | stint_1,1.067889001074948,0.4131088969837308,95.37110043037228,71.92326433048015,0.0
charlotte_roval_2025,Driver B,stint_1,2,18,Frontstretch,Driver B | charlotte_roval_2025 | stint_1,0.33522426214009615,0.10193219762546936,114.3782736834358,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,3,1,T1 (Heartlands),Driver B | charlotte_roval_2025 | stint_1,0.4501400500522781,0.33481333876467095,134.38539503257692,81.08046963092877,5.43106998057453
charlotte_roval_2025,Driver B,stint_1,3,2,T2,Driver B | charlotte_roval_2025 | stint_1,0.9895035714028736,0.45762954474109885,121.05361938872896,67.67825118810326,1.1220616536735037
charlotte_roval_2025,Driver B,stint_1,3,3,T3 (Infield),Driver B | charlotte_roval_2025 | stint_1,0.8903724474188139,0.5274974281109305,144.03145954458245,81.90046626101612,3.945785146518212
charlotte_roval_2025,Driver B,stint_1,3,4,T4,Driver B | charlotte_roval_2025 | stint_1,1.2573235956792768,0.3111386096807252,122.04085622479839,16.782564999715937,5.4497613129206
charlotte_roval_2025,Driver B,stint_1,3,5,T5/T6 Transition,Driver B | charlotte_roval_2025 | stint_1,0.5903833613563604,0.47075018466843677,125.14963539826029,93.9433439257824,0.0
charlotte_roval_2025,Driver B,stint_1,3,6,Hairpin Setup,Driver B | charlotte_roval_2025 | stint_1,1.0065158369459326,0.4202583551960109,140.72961471145217,61.49058248637966,5.468457708017783
charlotte_roval_2025,Driver B,stint_1,3,7,New Hairpin,Driver B | charlotte_roval_2025 | stint_1,1.1280033880591172,0.2832530632717273,85.37497594186605,40.63444067231232,12.556390349449465
charlotte_roval_2025,Driver B,stint_1,3,8,Oval Turn 1,Driver B | charlotte_roval_2025 | stint_1,0.3313719205891097,0.08140194956882585,112.4106975273798,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,3,9,Oval Turn 2,Driver B | charlotte_roval_2025 | stint_1,0.5405108566618931,0.10270187034618185,157.68535393649216,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,3,10,Backstretch,Driver B | charlotte_roval_2025 | stint_1,0.22324813902723248,0.18290296297833356,178.67109230443052,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,3,11,Bus Stop Entry,Driver B | charlotte_roval_2025 | stint_1,0.7724775121713766,0.5477440672896393,168.56491593834306,29.96151338318001,42.67043058371855
charlotte_roval_2025,Driver B,stint_1,3,12,Bus Stop Apex,Driver B | charlotte_roval_2025 | stint_1,1.0714793770365205,0.36525642323484164,95.24265243110307,47.45327104737452,12.229882995882827
charlotte_roval_2025,Driver B,stint_1,3,13,Bus Stop Exit,Driver B | charlotte_roval_2025 | stint_1,0.41581471090962985,0.11589863916875469,121.07772325051796,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,3,14,Oval Turn 3,Driver B | charlotte_roval_2025 | stint_1,0.5355917393281522,0.1893986215980045,153.82599824770855,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,3,15,Oval Turn 4,Driver B | charlotte_roval_2025 | stint_1,0.6667738619163732,0.13460253624190227,175.8361224609375,97.2026350731651,0.1569501711676518
charlotte_roval_2025,Driver B,stint_1,3,16,Final Chicane Entry,Driver B | charlotte_roval_2025 | stint_1,1.1681311471909221,0.1649576533549998,130.01615783691406,2.031080142284433,49.69973407271836
charlotte_roval_2025,Driver B,stint_1,3,17,Final Chicane Exit,Driver B | charlotte_roval_2025 | stint_1,1.0514151542344323,0.44828510496391627,98.32253705804999,82.73246375599292,0.0
charlotte_roval_2025,Driver B,stint_1,3,18,Frontstretch,Driver B | charlotte_roval_2025 | stint_1,0.3025525552392926,0.03994685700411154,116.98070793914792,100.0,0.0
