Session,Driver,Track,Stint,Variable,Label,N_Laps,ADF_Statistic,ADF_p_value,ADF_Lags,ADF_Crit_1pct,ADF_Stationary,KPSS_Statistic,KPSS_p_value,KPSS_Lags,KPSS_Crit_5pct,KPSS_Stationary,Verdict
Driver C | charlotte_roval_2025 | stint_1,Driver C,charlotte_roval_2025,stint_1,Mean_Brake_Pct,Mean Brake (%),18,-2.836,0.184033,4.0,-4.8844,False,0.5,0.01,17.0,0.146,False,Non-Stationary
Driver C | charlotte_roval_2025 | stint_2,Driver C,charlotte_roval_2025,stint_2,LapTime_s,Lap Time (s),15,-3.8012,0.016498,0.0,-4.7994,True,0.0731,0.1,0.0,0.146,True,Stationary
Driver C | charlotte_roval_2025 | stint_2,Driver C,charlotte_roval_2025,stint_2,Mean_TotalG,Mean Total G-Force (G),15,-5.2841,6.1e-05,0.0,-4.7994,True,0.1123,0.1,3.0,0.146,True,Stationary
Driver C | charlotte_roval_2025 | stint_2,Driver C,charlotte_roval_2025,stint_2,Std_TotalG,Std Dev Total G-Force (G),15,-2.8092,0.193574,4.0,-5.2825,False,0.0807,0.1,1.0,0.146,True,Trend-Stationary
Driver C | charlotte_roval_2025 | stint_2,Driver C,charlotte_roval_2025,stint_2,Mean_Speed_KPH,Mean Speed (km/h),15,-2.2717,0.449646,4.0,-5.2825,False,0.0739,0.1,0.0,0.146,True,Trend-Stationary
Driver C | charlotte_roval_2025 | stint_2,Driver C,charlotte_roval_2025,stint_2,Mean_Throttle_Pct,Mean Throttle (%),15,-2.6725,0.247673,4.0,-5.2825,False,0.056,0.1,1.0,0.146,True,Trend-Stationary
Driver C | charlotte_roval_2025 | stint_2,Driver C,charlotte_roval_2025,stint_2,Mean_Brake_Pct,Mean Brake (%),15,-1.3024,0.887336,4.0,-5.2825,False,0.1419,0.057609,5.0,0.146,True,Trend-Stationary
Driver C | summit_point | stint_1,Driver C,summit_point,stint_1,LapTime_s,Lap Time (s),4,,,,,,,,,,,N/A
Driver C | summit_point | stint_1,Driver C,summit_point,stint_1,Mean_TotalG,Mean Total G-Force (G),4,,,,,,,,,,,N/A
Driver C | summit_point | stint_1,Driver C,summit_point,stint_1,Std_TotalG,Std Dev Total G-Force (G),4,,,,,,,,,,,N/A
Driver C | summit_point | stint_1,Driver C,summit_point,stint_1,Mean_Speed_KPH,Mean Speed (km/h),4,,,,,,,,,,,N/A
Driver C | summit_point | stint_1,Driver C,summit_point,stint_1,Mean_Throttle_Pct,Mean Throttle (%),4,,,,,,,,,,,N/A
Driver C | summit_point | stint_1,Driver C,summit_point,stint_1,Mean_Brake_Pct,Mean Brake (%),4,,,,,,,,,,,N/A
Driver C | summit_point | stint_2,Driver C,summit_point,stint_2,LapTime_s,Lap Time (s),21,-4.2592,0.003638,0.0,-4.4993,True,0.063,0.1,0.0,0.146,True,Stationary
Driver C | summit_point | stint_2,Driver C,summit_point,stint_2,Mean_TotalG,Mean Total G-Force (G),21,-3.7124,0.021556,1.0,-4.5336,True,0.091,0.1,1.0,0.146,True,Stationary
Driver C | summit_point | stint_2,Driver C,summit_point,stint_2,Std_TotalG,Std Dev Total G-Force (G),21,-3.7965,0.016737,0.0,-4.4993,True,0.1111,0.1,0.0,0.146,True,Stationary
Driver C | summit_point | stint_2,Driver C,summit_point,stint_2,Mean_Speed_KPH,Mean Speed (km/h),21,-4.2888,0.003275,0.0,-4.4993,True,0.0651,0.1,0.0,0.146,True,Stationary
Driver C | summit_point | stint_2,Driver C,summit_point,stint_2,Mean_Throttle_Pct,Mean Throttle (%),21,-2.903,0.161242,3.0,-4.617,False,0.1153,0.1,1.0,0.146,True,Trend-Stationary
Driver C | summit_point | stint_2,Driver C,summit_point,stint_2,Mean_Brake_Pct,Mean Brake (%),21,-1.9227,0.642842,7.0,-4.8844,False,0.0658,0.1,2.0,0.146,True,Trend-Stationary
