Track,Comparison,Stint,Sector,N_Act,DeltaT_s
CLT,C vs. B,stint_1,8,1,0.00014452367680917177
CLT,C vs. B,stint_1,9,0,-0.013798894273534756
CLT,C vs. B,stint_1,10,5,0.020803553626564053
CLT,C vs. B,stint_1,11,3,-0.13299975103565487
CLT,C vs. B,stint_1,12,1,-0.05365955435401304
CLT,C vs. B,stint_1,13,1,-0.007392160760502975
CLT,C vs. B,stint_1,14,3,0.02710024959310431
CLT,C vs. B,stint_1,15,7,0.19193124542309192
CLT,C vs. B,stint_1,16,2,0.25996456873097884
CLT,C vs. B,stint_1,17,2,0.05139756562590492
CLT,C vs. B,stint_2,0,2,0.17003472959186539
CLT,C vs. B,stint_2,1,5,0.11709141648440813
CLT,C vs. B,stint_2,2,1,0.016492445384781007
CLT,C vs. B,stint_2,3,4,0.17602622401349421
CLT,C vs. B,stint_2,4,0,-0.158618908936635
CLT,C vs. B,stint_2,5,2,-0.16411297178124684
CLT,C vs. B,stint_2,6,4,0.32327307199351907
CLT,C vs. B,stint_2,7,3,-0.048459588102574
CLT,C vs. B,stint_2,8,1,-0.020073982565577353
CLT,C vs. B,stint_2,9,0,0.005754759944629484
CLT,C vs. B,stint_2,10,4,0.3111626975667363
CLT,C vs. B,stint_2,11,2,0.04798209762869021
CLT,C vs. B,stint_2,12,2,0.00941124666495341
CLT,C vs. B,stint_2,13,1,0.04268273771896247
CLT,C vs. B,stint_2,14,3,0.02411245337717105
CLT,C vs. B,stint_2,15,7,0.04327307643883671
CLT,C vs. B,stint_2,16,4,0.29358569058182127
CLT,C vs. B,stint_2,17,1,0.06359199308472796
CLT,C vs. B,stint_3,0,4,0.19253303501339936
CLT,C vs. B,stint_3,1,4,0.18578618956989335
CLT,C vs. B,stint_3,2,2,-0.061232938442467244
CLT,C vs. B,stint_3,3,5,0.15815033941490775
CLT,C vs. B,stint_3,4,3,0.08307894007973715
CLT,C vs. B,stint_3,5,2,-0.16728054670106118
CLT,C vs. B,stint_3,6,4,0.5710505589664123
CLT,C vs. B,stint_3,7,2,0.09601130757899057
CLT,C vs. B,stint_3,8,1,-0.01521648348288096
CLT,C vs. B,stint_3,9,0,-0.0003312657858103307
CLT,C vs. B,stint_3,10,5,0.09324669043250822
CLT,C vs. B,stint_3,11,5,0.09558511523297852
CLT,C vs. B,stint_3,12,3,0.22210311758544776
CLT,C vs. B,stint_3,13,2,0.15542498123950566
CLT,C vs. B,stint_3,14,4,0.0873713133938594
CLT,C vs. B,stint_3,15,7,0.06817337905756915
CLT,C vs. B,stint_3,16,3,0.21193848038889485
CLT,C vs. B,stint_3,17,2,0.04302530577335517
CLT,C vs. B,stint_4,0,7,0.4021533574370215
CLT,C vs. B,stint_4,1,3,0.16281330016142714
CLT,C vs. B,stint_4,2,3,-0.003022106623896903
CLT,C vs. B,stint_4,3,3,0.04982624300830807
CLT,C vs. B,stint_4,4,0,-0.136153264695821
CLT,C vs. B,stint_4,5,3,-0.16746312840406574
CLT,C vs. B,stint_4,6,5,0.20479088034839776
CLT,C vs. B,stint_4,7,0,0.14387296568108354
CLT,C vs. B,stint_4,8,1,0.042910194147886216
CLT,C vs. B,stint_4,9,0,0.02178681520172887
CLT,C vs. B,stint_4,10,3,0.00786016681450974
CLT,C vs. B,stint_4,11,4,0.22725486536607775
CLT,C vs. B,stint_4,12,4,0.1850794572581549
CLT,C vs. B,stint_4,13,2,0.14401056814025992
CLT,C vs. B,stint_4,14,3,0.0678466904173547
CLT,C vs. B,stint_4,15,8,0.021082211734793077
CLT,C vs. B,stint_4,16,3,0.1400262023243215
CLT,C vs. B,stint_4,17,2,0.05365258067854484
CLT,C vs. B,stint_5,0,2,0.033925248972705546
CLT,C vs. B,stint_5,1,3,0.13381485757393197
CLT,C vs. B,stint_5,2,2,0.039049728745913725
CLT,C vs. B,stint_5,3,3,0.3115360545977168
CLT,C vs. B,stint_5,4,1,-0.23205296569468103
CLT,C vs. B,stint_5,5,2,-0.16396149856747755
CLT,C vs. B,stint_5,6,1,0.22844972176664413
CLT,C vs. B,stint_5,7,3,-0.0013569013554928233
CLT,C vs. B,stint_5,8,1,-0.009558076667623538
CLT,C vs. B,stint_5,9,0,-0.01002239577859143
CLT,C vs. B,stint_5,10,3,0.012043791149942251
CLT,C vs. B,stint_5,11,1,0.019265543423941267
CLT,C vs. B,stint_5,12,1,0.07999325222476728
CLT,C vs. B,stint_5,13,1,0.08740125642134444
CLT,C vs. B,stint_5,14,3,0.05283256892938937
CLT,C vs. B,stint_5,15,7,-0.09681276474474032
CLT,C vs. B,stint_5,16,4,0.38791771676696385
CLT,C vs. B,stint_5,17,1,0.08928581962771887
CLT,D vs. B,stint_1,0,3,0.26460048238437306
CLT,D vs. B,stint_1,1,5,1.247735903661102
CLT,D vs. B,stint_1,2,2,0.39587838350130156
CLT,D vs. B,stint_1,3,3,0.5310818255663765
CLT,D vs. B,stint_1,4,4,0.41947370001471995
CLT,D vs. B,stint_1,5,3,1.4178918816181536
CLT,D vs. B,stint_1,6,2,0.901595759138047
CLT,D vs. B,stint_1,7,3,1.0900384591584569
CLT,D vs. B,stint_1,8,2,0.48587831579623497
CLT,D vs. B,stint_1,9,1,0.2316584632125256
CLT,D vs. B,stint_1,10,4,0.22930486401182293
CLT,D vs. B,stint_1,11,5,0.7731034118121727
CLT,D vs. B,stint_1,12,2,0.3832901559716504
CLT,D vs. B,stint_1,13,2,0.5834065888770965
CLT,D vs. B,stint_1,14,3,0.6557612761403391
CLT,D vs. B,stint_1,15,7,0.4174363934250067
CLT,D vs. B,stint_1,16,3,0.7355805956189982
CLT,D vs. B,stint_1,17,1,0.27601185516601845
CLT,D vs. B,stint_2,0,4,0.3406733325414528
CLT,D vs. B,stint_2,1,5,0.34554460102771234
CLT,D vs. B,stint_2,2,3,0.15252214590151247
CLT,D vs. B,stint_2,3,2,0.29663871979098744
CLT,D vs. B,stint_2,4,1,0.13723916319149865
CLT,D vs. B,stint_2,5,3,0.6461943239632255
CLT,D vs. B,stint_2,6,2,0.9861599190662886
CLT,D vs. B,stint_2,7,1,0.39281220285353413
CLT,D vs. B,stint_2,8,2,0.27314053522191983
CLT,D vs. B,stint_2,9,4,0.15024298147924497
CLT,D vs. B,stint_2,10,3,0.4194811914352954
CLT,D vs. B,stint_2,11,4,0.363020085855311
CLT,D vs. B,stint_2,12,2,0.21071761984553916
CLT,D vs. B,stint_2,13,2,0.3579639407126507
CLT,D vs. B,stint_2,14,4,0.4424843977709685
CLT,D vs. B,stint_2,15,4,0.3502965408961529
CLT,D vs. B,stint_2,16,3,0.30931118086061815
CLT,D vs. B,stint_2,17,1,0.10944335987251463
CLT,D vs. B,stint_3,0,3,0.18779033705289905
CLT,D vs. B,stint_3,1,4,0.4194240157534761
CLT,D vs. B,stint_3,2,1,0.15338485292615545
CLT,D vs. B,stint_3,3,2,0.15894278294159037
CLT,D vs. B,stint_3,4,0,0.04064810974250577
CLT,D vs. B,stint_3,5,1,-0.054903032617321657
CLT,D vs. B,stint_3,6,1,0.4329859786383139
CLT,D vs. B,stint_3,7,0,0.2453008190928614
CLT,D vs. B,stint_3,8,2,0.19424070970859475
CLT,D vs. B,stint_3,9,3,0.1135792960484352
CLT,D vs. B,stint_3,10,5,0.27766159718839845
CLT,D vs. B,stint_3,11,3,0.17853714184522573
CLT,D vs. B,stint_3,12,1,0.0898367186942437
CLT,D vs. B,stint_3,13,2,0.17588681182141386
CLT,D vs. B,stint_3,14,3,0.1651686792409066
CLT,D vs. B,stint_3,15,2,0.11268637725815722
CLT,D vs. B,stint_3,16,2,0.46373226517837907
CLT,D vs. B,stint_3,17,2,0.14655515340271563
CLT,D vs. B,stint_4,0,3,0.10839019272199302
CLT,D vs. B,stint_4,1,3,0.07429202261107193
