Track,Comparison,Stint,Rule_ID,Category,Fired
CLT,F vs. B,stint_1,OVER_BRAKING_PEAK,Braking,6
CLT,F vs. B,stint_1,POOR_TRAIL_BRAKING,Rotation,2
CLT,F vs. B,stint_1,ROTATION_INEFFICIENT,Rotation,5
CLT,F vs. B,stint_1,STEER_EFFICIENCY,Rotation,4
CLT,F vs. B,stint_1,THROTTLE_STEER_CONFLICT,Traction,3
CLT,F vs. B,stint_2,AGGRESSIVE_UNSTABLE_BRAKE,Braking,1
CLT,F vs. B,stint_2,BRAKING_POINT_MISMATCH,Braking,2
CLT,F vs. B,stint_2,ENTRY_OVER_SLOW,Braking,8
CLT,F vs. B,stint_2,EXIT_SPEED_LEGACY,Legacy,2
CLT,F vs. B,stint_2,LATE_ROTATION,Rotation,6
CLT,F vs. B,stint_2,LATE_THROTTLE_LOW_SPEED,Traction,2
CLT,F vs. B,stint_2,LOW_BRAKE_EFFICIENCY,Braking,4
CLT,F vs. B,stint_2,OVER_BRAKING_PEAK,Braking,8
CLT,F vs. B,stint_2,POOR_TRAIL_BRAKING,Rotation,0
CLT,F vs. B,stint_2,ROTATION_INEFFICIENT,Rotation,2
CLT,F vs. B,stint_2,STEER_EFFICIENCY,Rotation,1
CLT,F vs. B,stint_2,THROTTLE_STEER_CONFLICT,Traction,1
CLT,F vs. B,stint_3,AGGRESSIVE_UNSTABLE_BRAKE,Braking,5
CLT,F vs. B,stint_3,BRAKING_POINT_MISMATCH,Braking,3
CLT,F vs. B,stint_3,ENTRY_OVER_SLOW,Braking,10
CLT,F vs. B,stint_3,EXIT_SPEED_LEGACY,Legacy,3
CLT,F vs. B,stint_3,LATE_ROTATION,Rotation,8
CLT,F vs. B,stint_3,LATE_THROTTLE_LOW_SPEED,Traction,3
CLT,F vs. B,stint_3,LOW_BRAKE_EFFICIENCY,Braking,4
CLT,F vs. B,stint_3,OVER_BRAKING_PEAK,Braking,9
CLT,F vs. B,stint_3,POOR_TRAIL_BRAKING,Rotation,0
CLT,F vs. B,stint_3,ROTATION_INEFFICIENT,Rotation,5
CLT,F vs. B,stint_3,STEER_EFFICIENCY,Rotation,3
CLT,F vs. B,stint_3,THROTTLE_STEER_CONFLICT,Traction,4
CLT,F vs. B,stint_4,AGGRESSIVE_UNSTABLE_BRAKE,Braking,1
CLT,F vs. B,stint_4,BRAKING_POINT_MISMATCH,Braking,3
CLT,F vs. B,stint_4,ENTRY_OVER_SLOW,Braking,7
CLT,F vs. B,stint_4,EXIT_SPEED_LEGACY,Legacy,3
