Param,Factor,Total,KendallTau,TrendPatternPreserved,Act_LATE_ROTATION,Act_LOW_BRAKE_EFFICIENCY,Act_POOR_TRAIL_BRAKING,Act_EXIT_SPEED_LEGACY,Act_BRAKING_POINT_MISMATCH,Act_OVER_BRAKING_PEAK,Act_ENTRY_OVER_SLOW,Act_AGGRESSIVE_UNSTABLE_BRAKE,Act_STEER_EFFICIENCY,Act_ROTATION_INEFFICIENT,Act_LATE_THROTTLE_LOW_SPEED,Act_THROTTLE_STEER_CONFLICT
SMOOTH_RATIO,1.25,1933,0.97,True,,,,,,,,,,,160.0,
SMOOTH_RATIO,1.5,1920,0.939,True,,,,,,,,,,,147.0,
EXIT_DV,0.5,1958,1.0,True,,,,,,,,,,,185.0,
EXIT_DV,0.75,1954,1.0,True,,,,,,,,,,,181.0,
EXIT_DV,1.0,1944,1.0,True,,,,,,,,,,,171.0,
EXIT_DV,1.25,1940,1.0,True,,,,,,,,,,,167.0,
EXIT_DV,1.5,1938,1.0,True,,,,,,,,,,,165.0,
CONFLICT_RATIO,0.5,1989,0.879,True,,,,,,,,,,,,173.0
CONFLICT_RATIO,0.75,1966,0.97,True,,,,,,,,,,,,150.0
CONFLICT_RATIO,1.0,1944,1.0,True,,,,,,,,,,,,128.0
CONFLICT_RATIO,1.25,1922,0.97,True,,,,,,,,,,,,106.0
CONFLICT_RATIO,1.5,1908,0.909,True,,,,,,,,,,,,92.0
