Lat,Lon,peed_kmh,Gear,RPM,Throttle,Brake,Lap,FuelLevel_l,AirTemp_C
,,0.0003228272980777547,0,875.1864013671875,0.0,1.0,3,23.809438705444336,24.88999366760254
,,0.00011779161868616939,0,875.1318359375,0.0,1.0,3,23.809419631958008,24.890033721923828
,,0.0002967037347843871,0,875.0886840820312,0.0,1.0,3,23.80940055847168,24.890073776245117
,,0.0006198138697072864,0,875.0582275390625,0.0,1.0,3,23.80938148498535,24.890113830566406
,,0.0003850731183774769,0,875.0328369140625,0.0,1.0,3,23.809364318847656,24.890151977539062
,,0.00017721893236739562,0,875.0106201171875,0.0,1.0,3,23.80934715270996,24.89019203186035
,,0.00024588711094111206,0,886.0386352539062,0.0,1.0,3,23.809328079223633,24.89023208618164
,,0.00037245227722451093,0,883.55029296875,0.0,1.0,3,23.809309005737305,24.890270233154297
,,0.00030646422528661786,0,881.6138305664062,0.0,1.0,3,23.809289932250977,24.890310287475586
,,0.00025675783690530806,0,879.9013061523438,0.0,1.0,3,23.80927085876465,24.890356063842773
,,0.000569873076165095,0,878.78857421875,0.0,1.0,3,23.80925178527832,24.890396118164062
,,0.0001645661614020355,0,877.9229736328125,0.0,1.0,3,23.809232711791992,24.89043617248535
,,0.0002143657984561287,0,877.2520751953125,0.0,1.0,3,23.809213638305664,24.890474319458008
,,0.00027620524051599207,0,876.7311401367188,0.0,1.0,3,23.80919647216797,24.890514373779297
,,0.0002402678830549121,0,876.3273315429688,0.0,1.0,3,23.809179306030273,24.890554428100586
,,0.0004554957733489573,0,876.0204467773438,0.0,1.0,3,23.809160232543945,24.890594482421875
,,0.00026765169168356805,0,875.7742919921875,0.0,1.0,3,23.809141159057617,24.89063262939453
,,0.0004287921037757769,0,875.5912475585938,0.0,1.0,3,23.80912208557129,24.89067268371582
,,0.00047709986683912574,0,875.445556640625,0.0,1.0,3,23.809104919433594,24.89071273803711
,,0.00024255189928226172,0,875.3312377929688,0.0,1.0,3,23.8090877532959,24.890750885009766
,,0.0002987319981912151,0,875.2421875,0.0,1.0,3,23.809066772460938,24.890790939331055
,,0.00023412764130625874,0,875.1756591796875,0.0,1.0,3,23.809049606323242,24.890830993652344
,,0.0003932216903194785,0,875.120361328125,0.0,1.0,3,23.809030532836914,24.890871047973633
,,0.0004049142880830914,0,875.079345703125,0.0,1.0,3,23.80901336669922,24.89090919494629
,,0.0004107959743123502,0,875.047119140625,0.0,1.0,3,23.808996200561523,24.890949249267578
,,5.1318965051905256e-05,0,875.0247802734375,0.0,1.0,3,23.808975219726562,24.890989303588867
,,0.0002344832697417587,0,875.0062866210938,0.0,1.0,3,23.808958053588867,24.891027450561523
,,0.0008967884117737412,0,875.7142333984375,0.0,1.0,3,23.80893898010254,24.891067504882812
,,0.0004901734879240394,0,875.552734375,0.0,1.0,3,23.808921813964844,24.8911075592041
,,0.00042185348575003446,0,875.3914794921875,0.0,1.0,3,23.80889892578125,24.89115333557129
,,0.000310256879311055,0,875.2897338867188,0.0,1.0,3,23.808881759643555,24.891193389892578
,,0.0002320735511602834,0,893.9869995117188,0.07114625722169876,1.0,3,23.80885887145996,24.891231536865234
,,0.0008978009456768632,0,1570.6651611328125,0.4229249358177185,1.0,3,23.80870819091797,24.891271591186523
,,0.00038317126454785467,0,2781.143310546875,0.6403162479400635,1.0,3,23.808319091796875,24.891311645507812
,,0.0002847195515641943,1,4080.121337890625,0.7747035026550293,1.0,3,23.807701110839844,24.8913516998291
,,0.007098209671676159,1,5488.53173828125,0.790513813495636,0.0,3,23.80683708190918,24.891389846801758
,,2.0589951753616336,1,5078.755859375,0.8339920043945312,0.0,3,23.80589485168457,24.891429901123047
,,4.981247520446778,1,3919.1650390625,0.8814228773117065,0.0,3,23.80506706237793,24.891469955444336
,,7.9146160125732425,1,2695.54150390625,0.9446641802787781,0.0,3,23.804458618164062,24.891508102416992
,,10.853861331939697,1,1507.7490234375,0.9723320603370667,0.0,3,23.804052352905273,24.89154815673828
,,12.77519416809082,1,1021.3112182617188,0.9723320603370667,0.0,3,23.803865432739258,24.89158821105957
,,14.354310607910156,1,886.6236572265625,0.9723320603370667,0.0,3,23.80367088317871,24.891626358032227
,,15.113558578491212,1,1301.297119140625,0.9723320603370667,0.0,3,23.803483963012695,24.891666412353516
,,16.899884033203126,1,1063.75830078125,0.9723320603370667,0.0,3,23.803260803222656,24.891706466674805
,,17.98868751525879,1,1424.2044677734375,0.9802371263504028,0.0,3,23.802993774414062,24.891746520996094
,,19.641963386535647,1,1370.1539306640625,1.0,0.0,3,23.802719116210938,24.89178466796875
,,21.041139221191408,1,1536.5283203125,1.0,0.0,3,23.802398681640625,24.89182472229004
,,22.488203430175783,1,1662.6195068359375,1.0,0.0,3,23.80207633972168,24.891864776611328
,,24.042341423034667,1,1712.9161376953125,1.0,0.0,3,23.801719665527344,24.891902923583984
,,25.68164234161377,1,1886.6553955078125,1.0,0.0,3,23.801284790039062,24.891950607299805
,,27.21226444244385,1,1964.941650390625,1.0,0.0,3,23.800893783569336,24.89198875427246
